positionType,positionNum,publishTime,positionline,positionname,workLocation
职能类,1,2019-03-13,position_detail.php?id=48484&keywords=&tid=0&lid=0,S2-International Finance Manager（EU）,荷兰
职能类,1,2019-03-13,position_detail.php?id=48485&keywords=&tid=0&lid=0,S2-IBG财务管理经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48486&keywords=&tid=0&lid=0,S2-高级测试工程师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48487&keywords=&tid=0&lid=0,PCG10-商业化产品运营经理-平台策略方向,深圳
技术类,2,2019-03-13,position_detail.php?id=48488&keywords=&tid=0&lid=0,27092-商业化iOS高级开发工程师（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48489&keywords=&tid=0&lid=0,29911-移动端交互设计师,深圳
技术类,1,2019-03-13,position_detail.php?id=48479&keywords=&tid=0&lid=0,CSIG17-LBS产品能力技术评价负责人,北京
技术类,1,2019-03-13,position_detail.php?id=48480&keywords=&tid=0&lid=0,25814-数据研发高级工程师,北京
技术类,2,2019-03-13,position_detail.php?id=48481&keywords=&tid=0&lid=0,18302-动作游戏引擎工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48482&keywords=&tid=0&lid=0,18302-游戏程序化生成 TA,深圳
技术类,1,2019-03-13,position_detail.php?id=48483&keywords=&tid=0&lid=0,30361-WEB前端工程师,北京
技术类,3,2019-03-13,position_detail.php?id=48473&keywords=&tid=0&lid=0,TEG09-云存储高级研发工程师（深圳总部）,深圳
技术类,2,2019-03-13,position_detail.php?id=48474&keywords=&tid=0&lid=0,TEG09-云存储高级研发工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48475&keywords=&tid=0&lid=0,21309-PC客户端开发工程师,深圳
设计类,1,2019-03-13,position_detail.php?id=48477&keywords=&tid=0&lid=0,20772-自制节目视觉管理（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48478&keywords=&tid=0&lid=0,CSIG17-车联网高级硬件测试架构师,北京
职能类,1,2019-03-13,position_detail.php?id=48467&keywords=&tid=0&lid=0,ZNB-高级专家助理,北京
技术类,1,2019-03-13,position_detail.php?id=48468&keywords=&tid=0&lid=0,22850-腾讯视频VIP后台开发工程师(深圳),深圳
产品/项目类,3,2019-03-13,position_detail.php?id=48469&keywords=&tid=0&lid=0,31967-企鹅电竞游戏直播运营经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48470&keywords=&tid=0&lid=0,31967-企鹅电竞Web应用开发工程师,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48471&keywords=&tid=0&lid=0,31967-企鹅电竞游戏直播运营经理（北京）,北京
技术类,3,2019-03-13,position_detail.php?id=48472&keywords=&tid=0&lid=0,TEG09-CDN高级后台开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48462&keywords=&tid=0&lid=0,17229-手游客户端开发工程师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48463&keywords=&tid=0&lid=0,PCG09-信息流垂类运营（体育）,北京
技术类,1,2019-03-13,position_detail.php?id=48464&keywords=&tid=0&lid=0,25926-高级游戏客户端安全工程师（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48465&keywords=&tid=0&lid=0,TZ-网站编辑,深圳
设计类,1,2019-03-13,position_detail.php?id=48466&keywords=&tid=0&lid=0,27566-互动叙事类视觉导演（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48456&keywords=&tid=0&lid=0,23295-互娱内容平台产品经理（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48457&keywords=&tid=0&lid=0,TME-电台节目高级运营经理,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48458&keywords=&tid=0&lid=0,TME-MOO音乐产品策划（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48459&keywords=&tid=0&lid=0,25923-golang运营开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48460&keywords=&tid=0&lid=0,25923-王者荣耀技术运营工程师（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48461&keywords=&tid=0&lid=0,21528-版权商务（词曲）,北京
技术类,1,2019-03-13,position_detail.php?id=48451&keywords=&tid=0&lid=0,22090-天天快报-高级研发工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48452&keywords=&tid=0&lid=0,PCG10-NLP/CV算法工程师,深圳
,1,2019-03-13,position_detail.php?id=48453&keywords=&tid=0&lid=0,21528-品牌传播经理（深圳总部）,深圳
,1,2019-03-13,position_detail.php?id=48454&keywords=&tid=0&lid=0,21528-品牌传播经理（北京）,北京
,1,2019-03-13,position_detail.php?id=48455&keywords=&tid=0&lid=0,21528-媒介传播经理（党媒央媒）,北京
技术类,1,2019-03-13,position_detail.php?id=48446&keywords=&tid=0&lid=0,25925-NLP高级工程师（深圳）,深圳
职能类,1,2019-03-13,position_detail.php?id=48447&keywords=&tid=0&lid=0,TME-腾讯音乐安全策略总监/专家,深圳
技术类,1,2019-03-13,position_detail.php?id=48448&keywords=&tid=0&lid=0,22989-自然语言处理平台高级工程师,深圳
产品/项目类,3,2019-03-13,position_detail.php?id=48449&keywords=&tid=0&lid=0,22989-AI语义产品经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48450&keywords=&tid=0&lid=0,26564-PHP后台开发工程师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48440&keywords=&tid=0&lid=0,31504-云服务高级项目经理（深圳）,深圳
技术类,5,2019-03-13,position_detail.php?id=48441&keywords=&tid=0&lid=0,25663-腾讯云国际化业务后台开发(深圳）,深圳
技术类,2,2019-03-13,position_detail.php?id=48442&keywords=&tid=0&lid=0,25663-腾讯云国际化业务web前端开发（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48443&keywords=&tid=0&lid=0,PCG16-游戏运营,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48444&keywords=&tid=0&lid=0,31967-企鹅电竞高级数据产品经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48445&keywords=&tid=0&lid=0,WXG10-152 企业微信专项测试工程师（广州）,广州
设计类,1,2019-03-13,position_detail.php?id=48435&keywords=&tid=0&lid=0,HY6-互娱视觉设计师,深圳
设计类,1,2019-03-13,position_detail.php?id=48436&keywords=&tid=0&lid=0,29911-多媒体视觉设计师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48437&keywords=&tid=0&lid=0,30625-腾讯广告生态合作运营经理（北京）,北京
市场类,1,2019-03-13,position_detail.php?id=48438&keywords=&tid=0&lid=0,30625-腾讯广告平台销售经理（大客户和生态组）,北京
产品/项目类,1,2019-03-13,position_detail.php?id=48439&keywords=&tid=0&lid=0,30625-腾讯广告KA电商行业数据运营经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48430&keywords=&tid=0&lid=0,23295-互娱游戏营销算法工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48431&keywords=&tid=0&lid=0,23295-互娱社区后台开发工程师（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48432&keywords=&tid=0&lid=0,23292-互娱概念美术指导,深圳
市场类,1,2019-03-13,position_detail.php?id=48433&keywords=&tid=0&lid=0,HY6-互娱市场推广经理（内容营销方向）,武汉
市场类,1,2019-03-13,position_detail.php?id=48434&keywords=&tid=0&lid=0,25666-融合媒体行业销售Leader(北京/深圳)（深圳总部）,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48424&keywords=&tid=0&lid=0,25927-toB高级产品经理（上海）,上海
技术类,1,2019-03-13,position_detail.php?id=48425&keywords=&tid=0&lid=0,30628-腾讯广告投放平台PHP开发工程师（上海）,上海
市场类,1,2019-03-13,position_detail.php?id=48426&keywords=&tid=0&lid=0,CSIG15-高级商业分析师,深圳
技术类,1,2019-03-13,position_detail.php?id=48427&keywords=&tid=0&lid=0,30628-业务运维高级工程师,北京
技术类,1,2019-03-13,position_detail.php?id=48428&keywords=&tid=0&lid=0,25929-高级机器学习工程师,上海
产品/项目类,1,2019-03-13,position_detail.php?id=48429&keywords=&tid=0&lid=0,27192-互娱游戏社区产品运营经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48419&keywords=&tid=0&lid=0,TEG02-SDN开发工程师（北京）,北京
市场类,1,2019-03-13,position_detail.php?id=48420&keywords=&tid=0&lid=0,TB-投资经理（香港）,香港
设计类,1,2019-03-13,position_detail.php?id=48421&keywords=&tid=0&lid=0,18302-剑灵IP手游本地化资深3D场景设计师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48422&keywords=&tid=0&lid=0,23671-众创空间区域运营经理,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48423&keywords=&tid=0&lid=0,25928-音频策划,上海
技术类,3,2019-03-13,position_detail.php?id=48413&keywords=&tid=0&lid=0,22989-腾讯云存储产品售前架构师（深圳/北京/上海）,深圳
技术类,1,2019-03-13,position_detail.php?id=48414&keywords=&tid=0&lid=0,TME-腾讯音乐测试开发组长（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48415&keywords=&tid=0&lid=0,TME-全民K歌国际版高级测试工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48416&keywords=&tid=0&lid=0,TME-腾讯音乐音质音效高级测试工程师（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48417&keywords=&tid=0&lid=0,22851-腾讯视频电影频道运营（天津）,天津
技术类,2,2019-03-13,position_detail.php?id=48418&keywords=&tid=0&lid=0,TEG02-SDN开发工程师（深圳总部）,深圳
市场类,1,2019-03-13,position_detail.php?id=48408&keywords=&tid=0&lid=0,15582-商业分析经理（深圳）,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48409&keywords=&tid=0&lid=0,25663-腾讯云国际业务产品策划经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48410&keywords=&tid=0&lid=0,WXG03-微信小程序&公众号计算机视觉高级研究员,广州
设计类,1,2019-03-13,position_detail.php?id=48411&keywords=&tid=0&lid=0,25928-交互设计师,深圳
市场类,1,2019-03-13,position_detail.php?id=48412&keywords=&tid=0&lid=0,25667-腾讯云服务合作伙伴高级运营经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48402&keywords=&tid=0&lid=0,PCG04-后台开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48403&keywords=&tid=0&lid=0,31506-知识图谱前端开发工程师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48404&keywords=&tid=0&lid=0,TME-QQ音乐平台产品策划,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48405&keywords=&tid=0&lid=0,15569-魂斗罗手游高级系统策划（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48406&keywords=&tid=0&lid=0,15569-魂斗罗手游高级数值策划（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48407&keywords=&tid=0&lid=0,15569-魂斗罗手游世界观策划（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48396&keywords=&tid=0&lid=0,CSIG16-车联网运营项目经理（上海）,上海
产品/项目类,1,2019-03-13,position_detail.php?id=48397&keywords=&tid=0&lid=0,24548-综艺商业制片人,北京
技术类,1,2019-03-13,position_detail.php?id=48398&keywords=&tid=0&lid=0,CSIG16-车联网架构师（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48399&keywords=&tid=0&lid=0,16078-金融行业商务拓展经理（北京）,北京
设计类,1,2019-03-13,position_detail.php?id=48400&keywords=&tid=0&lid=0,PCG19-腾讯视频app交互设计师,深圳
技术类,1,2019-03-13,position_detail.php?id=48401&keywords=&tid=0&lid=0,PCG04-腾讯PCG研发部架构师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48391&keywords=&tid=0&lid=0,21557-音视频实验室高级产品经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48392&keywords=&tid=0&lid=0,CSIG15-自然语言处理工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48393&keywords=&tid=0&lid=0,CSIG16-车联网系统工程师（自研基础产品运维负责人）（上海）,上海
技术类,1,2019-03-13,position_detail.php?id=48394&keywords=&tid=0&lid=0,CSIG16-车联网IT运维经理（上海）,上海
产品/项目类,1,2019-03-13,position_detail.php?id=48395&keywords=&tid=0&lid=0,CSIG16-车联网产品运营经理（上海）,上海
市场类,1,2019-03-13,position_detail.php?id=48385&keywords=&tid=0&lid=0,WXG09-321 高级商务经理,广州
市场类,1,2019-03-13,position_detail.php?id=48387&keywords=&tid=0&lid=0,16810-动漫版权商业化经理 ,北京
市场类,1,2019-03-13,position_detail.php?id=48388&keywords=&tid=0&lid=0,29300-动漫商务拓展经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48390&keywords=&tid=0&lid=0,CSIG17-云行业产品测试leader,深圳
技术类,2,2019-03-13,position_detail.php?id=48384&keywords=&tid=0&lid=0,15575-《王者荣耀》图形渲染开发工程师（成都）,成都
技术类,1,2019-03-13,position_detail.php?id=48380&keywords=&tid=0&lid=0,22989-腾讯云-区域交付leader（上海）,上海
技术类,1,2019-03-13,position_detail.php?id=48381&keywords=&tid=0&lid=0,25664-政府行业技术平台架构师,深圳
技术类,3,2019-03-13,position_detail.php?id=48382&keywords=&tid=0&lid=0,25664-政务应用架构师（深圳）,深圳
职能类,1,2019-03-13,position_detail.php?id=48383&keywords=&tid=0&lid=0,BJ-政府事务经理,北京
技术类,1,2019-03-13,position_detail.php?id=48374&keywords=&tid=0&lid=0,31504-腾讯云大客户售后高级技术顾问（深圳/北京/上海/成都）,北京
产品/项目类,1,2019-03-13,position_detail.php?id=48375&keywords=&tid=0&lid=0,22989-腾讯云云开发高级项目管理,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48377&keywords=&tid=0&lid=0,22989-腾讯云中间件高级项目经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48378&keywords=&tid=0&lid=0,22989-腾讯云容器技术高级工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48379&keywords=&tid=0&lid=0,22989-腾讯云-区域交付leader（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48369&keywords=&tid=0&lid=0,PCG19-Android开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48371&keywords=&tid=0&lid=0,CSIG16-车联网后台开发工程师（深圳）,深圳
职能类,1,2019-03-13,position_detail.php?id=48372&keywords=&tid=0&lid=0,26832-招聘专员,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48373&keywords=&tid=0&lid=0,PCG16-信息流游戏策略产品经理,深圳
设计类,1,2019-03-13,position_detail.php?id=48363&keywords=&tid=0&lid=0,PCG19-腾讯视频app视觉设计师,深圳
技术类,1,2019-03-13,position_detail.php?id=48364&keywords=&tid=0&lid=0,PCG19-腾讯视频iOS开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48365&keywords=&tid=0&lid=0,PCG19-腾讯视频数据挖掘高级工程师（深圳）,深圳
技术类,3,2019-03-13,position_detail.php?id=48366&keywords=&tid=0&lid=0,PCG19-大数据开发工程师,深圳
设计类,1,2019-03-13,position_detail.php?id=48367&keywords=&tid=0&lid=0,27730-yoo有视频UI设计师（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48368&keywords=&tid=0&lid=0,22851-腾讯视频娱乐频道值班编辑（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48358&keywords=&tid=0&lid=0,25927-英雄联盟测试经理（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48359&keywords=&tid=0&lid=0,PCG15-互动视频产品策划经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48360&keywords=&tid=0&lid=0,15581-欢乐麻将Unity开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48361&keywords=&tid=0&lid=0,25925-Linux C++后台开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48362&keywords=&tid=0&lid=0,GY0-【国际业务部】高级运维开发工程师（深圳）,深圳
职能类,1,2019-03-13,position_detail.php?id=48352&keywords=&tid=0&lid=0,PCG20-部门秘书（北京）,北京
技术类,3,2019-03-13,position_detail.php?id=48353&keywords=&tid=0&lid=0,TME-Moo音乐iOS开发工程师（深圳）,深圳
技术类,2,2019-03-13,position_detail.php?id=48354&keywords=&tid=0&lid=0,TME-Moo音乐Android开发工程师（深圳）,深圳
技术类,3,2019-03-13,position_detail.php?id=48355&keywords=&tid=0&lid=0,TME-QQ音乐商业化后台开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48356&keywords=&tid=0&lid=0,16810-腾讯动漫运营开发工程师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48357&keywords=&tid=0&lid=0,25926-游戏安全产品经理（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48347&keywords=&tid=0&lid=0,27566-互动叙事项目内容导演(深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48348&keywords=&tid=0&lid=0,25667-金融行业渠道销售,上海
技术类,2,2019-03-13,position_detail.php?id=48349&keywords=&tid=0&lid=0,27570-高级引擎工程师,上海
设计类,1,2019-03-13,position_detail.php?id=48350&keywords=&tid=0&lid=0,PCG19-腾讯视频app交互设计师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48351&keywords=&tid=0&lid=0,PCG19-腾讯视频数据产品经理（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48341&keywords=&tid=0&lid=0,22989-腾讯云计费产品中心总监/计费专家,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48342&keywords=&tid=0&lid=0,31967-直播主播合作运营,深圳
技术类,1,2019-03-13,position_detail.php?id=48343&keywords=&tid=0&lid=0,31967-企鹅电竞客户端开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48344&keywords=&tid=0&lid=0,31967-企鹅电竞系统测试工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48345&keywords=&tid=0&lid=0,31967-企鹅电竞ios开发工程师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48346&keywords=&tid=0&lid=0,27566-互动叙事合辑高级运营经理(深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48336&keywords=&tid=0&lid=0,25923-后台开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48337&keywords=&tid=0&lid=0,25923-数据库工程师(DBA)（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48338&keywords=&tid=0&lid=0,CSIG15-数据挖掘工程师,成都
技术类,2,2019-03-13,position_detail.php?id=48339&keywords=&tid=0&lid=0,22989-腾讯云数据平台产品中心WEB前端开发,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48340&keywords=&tid=0&lid=0,22989-腾讯云平台型高级产品经理（运营产品中心）,深圳
技术类,1,2019-03-13,position_detail.php?id=48331&keywords=&tid=0&lid=0,GY0-【国际业务部】前端开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48332&keywords=&tid=0&lid=0,30361-阅读及电台类产品后台开发,深圳
技术类,2,2019-03-13,position_detail.php?id=48333&keywords=&tid=0&lid=0,PCG09-Android 客户端开发工程师（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48334&keywords=&tid=0&lid=0,PCG09-商业分析师（北京）,北京
设计类,1,2019-03-13,position_detail.php?id=48335&keywords=&tid=0&lid=0,WXG07-412 广研交互设计师（广州）,广州
产品/项目类,1,2019-03-13,position_detail.php?id=48324&keywords=&tid=0&lid=0,WXG10-211 企业微信应用市场产品运营（广州）,广州
技术类,1,2019-03-13,position_detail.php?id=48325&keywords=&tid=0&lid=0,WXG10-117 Foxmail Mac开发工程师（广州）,广州
技术类,1,2019-03-13,position_detail.php?id=48326&keywords=&tid=0&lid=0,WXG10-119 Foxmail Windows开发工程师（广州）,广州
技术类,1,2019-03-13,position_detail.php?id=48327&keywords=&tid=0&lid=0,WXG07-152 QQ邮箱专项技术测试（广州）,广州
技术类,1,2019-03-13,position_detail.php?id=48329&keywords=&tid=0&lid=0,31967-游戏直播数据分析经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48330&keywords=&tid=0&lid=0,28481-交付运维工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48318&keywords=&tid=0&lid=0,TME-QQ音乐创新平台Android开发工程师（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48319&keywords=&tid=0&lid=0,27553-腾讯音乐用户研究经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48320&keywords=&tid=0&lid=0,25924-移动客户端高级开发工程师,上海
职能类,1,2019-03-13,position_detail.php?id=48321&keywords=&tid=0&lid=0,26832-招聘专员,深圳
技术类,1,2019-03-13,position_detail.php?id=48322&keywords=&tid=0&lid=0,WXG10-153 企业微信质量管理QA（广州）,广州
产品/项目类,1,2019-03-13,position_detail.php?id=48323&keywords=&tid=0&lid=0,WXG10-212 企业微信应用市场产品策划（广州）,广州
市场类,1,2019-03-13,position_detail.php?id=48314&keywords=&tid=0&lid=0,25666-腾讯云华东区域销售（上海/安徽）（上海）,上海
市场类,1,2019-03-13,position_detail.php?id=48315&keywords=&tid=0&lid=0,25666-腾讯云华东区域销售（上海/安徽）（合肥）,合肥
职能类,2,2019-03-13,position_detail.php?id=48316&keywords=&tid=0&lid=0,31109-HRBP(深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48317&keywords=&tid=0&lid=0,29300-Web前端开发工程师,深圳
设计类,2,2019-03-13,position_detail.php?id=48308&keywords=&tid=0&lid=0,RP-视觉设计师,深圳
技术类,1,2019-03-13,position_detail.php?id=48309&keywords=&tid=0&lid=0,31967-企鹅电竞Android开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48310&keywords=&tid=0&lid=0,31967-企鹅电竞iOS开发工程师,深圳
设计类,1,2019-03-13,position_detail.php?id=48311&keywords=&tid=0&lid=0,31967-企鹅电竞交互设计师,深圳
设计类,1,2019-03-13,position_detail.php?id=48312&keywords=&tid=0&lid=0,31967-企鹅电竞视觉设计师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48313&keywords=&tid=0&lid=0,PCG09-信息流产品垂类高级产品运营经理（ACG品类）,深圳
设计类,1,2019-03-13,position_detail.php?id=48303&keywords=&tid=0&lid=0,15602-高级UnrealEngine技术美术（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48304&keywords=&tid=0&lid=0,15602-妖尾手游3D动作设计师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48305&keywords=&tid=0&lid=0,PCG04-音视频测试开发（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48306&keywords=&tid=0&lid=0,25668-腾讯云市场高级商务拓展经理（深圳）,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48297&keywords=&tid=0&lid=0,31967-业务运营经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48298&keywords=&tid=0&lid=0,31967-企鹅电竞Web前端/UI开发工程师,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48299&keywords=&tid=0&lid=0,31967-企鹅电竞高级产品策划经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48300&keywords=&tid=0&lid=0,31967-企鹅电竞后台开发工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48301&keywords=&tid=0&lid=0,31967-企鹅电竞高级后台开发工程师（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48302&keywords=&tid=0&lid=0,26563-腾讯互娱经营分析经理,深圳
技术类,1,2019-03-13,position_detail.php?id=48292&keywords=&tid=0&lid=0,31504-腾讯云CDN专项高级技术支持工程师（深圳/北京）,北京
职能类,1,2019-03-13,position_detail.php?id=48293&keywords=&tid=0&lid=0,ZSC-Senior Patent Counsel,深圳
职能类,1,2019-03-13,position_detail.php?id=48294&keywords=&tid=0&lid=0,HGJ-senior legal counsel（AM）,香港
产品/项目类,1,2019-03-13,position_detail.php?id=48295&keywords=&tid=0&lid=0,28297-Roblox海外技术PM,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48296&keywords=&tid=0&lid=0,31967-直播合作项目经理,深圳
技术类,5,2019-03-13,position_detail.php?id=48286&keywords=&tid=0&lid=0,25664-政务民生解决方案架构师(深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48287&keywords=&tid=0&lid=0,PCG14-数据分析工程师（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48288&keywords=&tid=0&lid=0,GY0-【国际业务部】高级视觉设计师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48289&keywords=&tid=0&lid=0,26699-智慧零售商业产品经理,上海
产品/项目类,2,2019-03-13,position_detail.php?id=48291&keywords=&tid=0&lid=0,26699-智慧零售产品运营（深圳/成都）,深圳
技术类,1,2019-03-13,position_detail.php?id=48281&keywords=&tid=0&lid=0,21062-高级动画工程师（深圳）,深圳
技术类,5,2019-03-13,position_detail.php?id=48282&keywords=&tid=0&lid=0,25664-公有云解决方案售前架构师(深圳）,深圳
职能类,2,2019-03-13,position_detail.php?id=48283&keywords=&tid=0&lid=0,31871-服务器策略采购专家 ,深圳
,1,2019-03-13,position_detail.php?id=48284&keywords=&tid=0&lid=0,14914-高级策划公关经理（深圳）,深圳
技术类,5,2019-03-13,position_detail.php?id=48285&keywords=&tid=0&lid=0,25664-公检法行业解决方案架构师(深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48275&keywords=&tid=0&lid=0,TME-腾讯音乐音乐曲库运营（深圳）,深圳
